CIRCUS NAME,VENUE NAME,ADDRESS,CITY,STATE,ZIP,COORDS,City / Area,STATE,Show Date
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Wednesday, May 7, 2025"
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Thursday, May 8, 2025"
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Friday, May 9, 2025"
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Saturday, May 10, 2025"
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Sunday, May 11, 2025"
ESC,Abbotsford Power Centre,1201 Sumas Way #104,Abbotsford,BC,V2S 8H2,"49.0242822713551, -122.26722183495991",Abbotsford,BC,"Monday, May 12, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Tuesday, May 13, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Wednesday, May 14, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Thursday, May 15, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Friday, May 16, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Saturday, May 17, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Sunday, May 18, 2025"
ESC,Chilliwack Coliseum,45323 Hodgins Avenue,Chilliwack,BC,V2P 8G1,"49.169615882903784, -121.96921834659612",Chilliwack,BC,"Monday, May 19, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Tuesday, May 20, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Wednesday, May 21, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Thursday, May 22, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Friday, May 23, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Saturday, May 24, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Sunday, May 25, 2025"
ESC,Aberdeen Mall,1320 Trans-Canada Hwy,Kamloops,BC,V1S 1J2,"50.654564573653474, -120.37156911768957",Kamloops,BC,"Monday, May 26, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Tuesday, May 27, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Wednesday, May 28, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Thursday, May 29, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Friday, May 30, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Saturday, May 31, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Sunday, June 1, 2025"
ESC,CN Centre,2187 Ospika Blvd,Prince George,BC,V2N 1B2,"53.90453723457424, -122.80194662917255",Prince George,BC,"Monday, June 2, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Tuesday, June 3, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Wednesday, June 4, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Thursday, June 5, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Friday, June 6, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Saturday, June 7, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Sunday, June 8, 2025"
ESC,Charlie Lake Pub,12984 Jackfish Frontage Rd,Fort St-John,BC,V0C 1H0,"56.27533727328216, -120.95057933275109",Fort St-John,BC,"Monday, June 9, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Tuesday, June 10, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Wednesday, June 11, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Thursday, June 12, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Friday, June 13, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Saturday, June 14, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Sunday, June 15, 2025"
ESC,Centerfire Place,110 Eymundson Rd,Fort McMurray,AB,T9H 5A5,"56.7305823625159, -111.43851856533139",Fort McMurray,AB,"Monday, June 16, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Tuesday, June 17, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Wednesday, June 18, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Thursday, June 19, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Friday, June 20, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Saturday, June 21, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Sunday, June 22, 2025"
ESC,Westerner Park,4847A 19 Street,Red Deer,AB,T4R 2N7,"52.22923900053471, -113.80501814459875",Red Deer,AB,"Monday, June 23, 2025"
